product_id,user_id,NumOfEventsInJourney,NumSessions,interactionTime,maxPrice,minPrice,NumCart,NumView,NumRemove,InsessionCart,InsessionView,InsessionRemove,Weekend,Fr,Mon,Sat,Sun,Thu,Tue,Wed,2019,2020,Jan,Feb,Oct,Nov,Dec,Afternoon,Dawn,EarlyMorning,Evening,Morning,Night,Purchased?,Noon,Category
5866936,561897793.3333334,1.3333333333333333,1.3333333333333333,5550.0,15.839999999999998,15.839999999999998,0.0,1.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0,0.0,1.0
5647110,532652863.75,2.25,1.5,27556.5,5.800000000000001,5.565,1.25,0.25,0.25,3.75,2.25,9.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.5,0.5,0.0,0.5,0.0,0.25,0.25,0.75,0.0,0.0,0.25,0.0,0.0,0,0.0,1.0
5790472,457810855.25,1.0,1.0,0.0,6.272500000000001,6.272500000000001,0.25,0.75,0.0,17.25,30.0,2.5,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0,0.0,1.0
5811598,461264078.0,1.5,1.5,131532.5,5.56,5.56,0.25,1.0,0.25,3.25,10.5,1.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.5,0.5,0.5,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0,0.25,1.0
5846363,515799293.625,1.875,1.375,11055.875,4.08625,4.08625,0.5,1.0,0.25,4.875,3.375,4.25,0.0,0.125,0.125,0.375,0.0,0.25,0.125,0.0,0.75,0.25,0.125,0.125,0.25,0.25,0.25,0.375,0.0,0.125,0.25,0.25,0.0,1,0.0,1.0
5826406,504000532.3333333,4.0,3.3333333333333335,1016038.0,5.56,5.5,0.3333333333333333,2.6666666666666665,0.6666666666666666,8.0,4.0,15.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0,0.0,0.6666666666666666
5550698,574488968.0909091,1.4545454545454546,1.0909090909090908,5469.909090909092,4.409999999999999,4.409999999999999,0.2727272727272727,0.9090909090909091,0.09090909090909091,4.818181818181818,3.6363636363636362,6.454545454545454,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.6363636363636364,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.0,0.2727272727272727,0.18181818181818182,0.0,0.18181818181818182,0.45454545454545453,0.09090909090909091,0.09090909090909091,1,0.0,1.0
5787920,499402939.0,1.0,1.0,0.0,4.76,4.76,0.5,0.0,0.5,14.0,45.5,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0,0.0,1.0
5824146,381575879.0,2.8,1.6,172596.2,4.888,4.776,1.0,0.8,0.8,10.8,20.6,6.4,0.0,0.2,0.0,0.4,0.0,0.0,0.4,0.0,0.8,0.2,0.0,0.2,0.2,0.6,0.0,0.2,0.0,0.4,0.4,0.0,0.0,1,0.0,1.6
5695916,592899951.0,1.0,1.0,0.0,1.43,1.43,0.0,1.0,0.0,10.0,7.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
5706774,486524851.5,2.0,1.5,1190519.1666666667,14.009999999999998,14.009999999999998,0.5,0.8333333333333334,0.5,118.16666666666667,9.5,115.16666666666667,0.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0,0.3333333333333333,0.6666666666666666
