product_id,maxPrice,minPrice,Purchased?,Category
5866502,7.616666666666667,7.616666666666667,0,1.0
5870408,6.27,6.27,0,3.0
5900580,10.008,10.008,0,1.0
5918778,5.98,5.98,0,2.5
5848772,26.83,26.83,0,1.0
5738841,3.0020000000000002,3.0020000000000002,0,0.8
5775814,1.9752173913043471,1.9578260869565212,1,1.173913043478261
5842173,1.59,1.59,0,1.0
5867985,5.54,5.54,0,1.0
5812778,3.3200000000000003,3.3200000000000003,0,1.0
5552972,0.54,0.54,0,1.0
5918776,5.98,5.98,0,1.0
5835340,3.100000000000001,3.100000000000001,1,1.2307692307692308
5694154,17.61818181818182,17.456363636363637,1,1.1818181818181819
5811412,5.24,5.24,0,4.0
5550038,3.0,3.0,1,1.3333333333333333
5872899,52.97,52.97,0,1.0
8705,0.9,0.9,0,1.0
5857047,4.377142857142858,4.377142857142858,1,1.0
5747155,3.2475,3.2475,0,1.0
5546412,3.16,3.16,0,1.0
29367,1.7,1.7,0,1.0
5914107,4.62,4.62,0,1.0
5848814,7.27,7.27,0,1.0
5877677,7.62,7.62,0,1.0
5861386,3.9491666666666663,3.9316666666666666,1,1.5833333333333333
5867991,5.54,5.54,0,1.0
5823604,4.7,4.7,0,1.0
5845579,7.78,7.78,0,1.0
5904538,2.48,2.48,0,1.0
5916978,17.05,17.05,0,1.0
5823552,5.22,5.22,1,1.75
5900325,1.43,1.43,0,1.0
5834354,10.32,10.32,0,1.0
5890154,3.440000000000001,3.440000000000001,1,1.4285714285714286
5893697,6.97,6.97,0,1.0
5916342,1.43,1.43,0,1.0
5736597,7.92,7.92,1,1.75
5736103,3.97,3.97,0,4.0
5797946,6.33,6.33,0,1.0
5767968,0.7899999999999997,0.7899999999999997,1,1.1578947368421053
5804132,5.240000000000001,5.240000000000001,1,1.0
5898227,231.78000000000006,227.05,1,1.1333333333333333
5755221,2.78,2.78,0,1.0
5850850,20.73,20.73,0,1.0
5807840,4.48,4.48,1,1.0
5756761,6.304999999999998,6.288999999999997,1,1.175
5775516,16.58666666666667,16.58666666666667,0,1.0
5800799,9.21,9.21,0,1.0
5862701,43.92,43.92,0,1.0
5830561,1.7300000000000002,1.7300000000000002,1,1.3125
5878730,1.27,1.27,0,1.0
5919392,11.11,11.11,0,1.0
5866293,3.4,3.4,0,1.0
5587642,3.2990000000000004,3.2960000000000003,1,1.1
5782952,3.8000000000000003,3.8000000000000003,0,1.0
5852036,5.76,5.76,0,1.0
5928669,10.03,10.03,0,1.0
5809270,1.4064285714285714,1.3985714285714284,1,1.5714285714285714
5854112,2.825454545454545,2.825454545454545,1,1.1818181818181819
5816544,7.46,7.46,0,1.0
5769857,4.4799999999999995,4.4799999999999995,0,1.0
5684914,5.759090909090909,5.759090909090909,1,1.0
5881763,5.56,5.56,0,1.0
5667100,3.81,3.81,0,1.0
5783579,3.97,3.97,0,2.5
5669013,0.9499999999999998,0.9499999999999998,0,1.3333333333333333
5683893,2.62,2.48,0,4.0
5700215,7.9,7.9,0,1.0
5897502,2.56,2.56,0,1.0
5562270,0.65,0.65,0,1.0
5729549,6.698,6.698,0,1.0
5813846,3.8975000000000004,3.8975000000000004,0,1.0
5810432,27.78,27.78,0,1.0
5617823,6.288461538461538,6.288461538461538,1,1.0
5920560,7.94,7.94,1,1.5
5903818,1.59,1.59,0,1.0
5870446,5.56,5.56,0,1.0
5804467,3.9699999999999998,3.9699999999999998,1,0.9444444444444444
5914122,12.84,12.84,0,1.0
5870373,1.5485714285714287,1.5485714285714287,1,1.0
5923088,0.0,0.0,0,1.0
5839965,3.105,3.105,0,1.0
5853471,9.63,9.63,0,1.0
5823780,2.3599999999999994,2.3599999999999994,1,1.0
5801054,9.21,9.21,0,1.0
5908259,1.43,1.43,0,1.0
5862580,14.13,14.13,0,1.0
5875267,1.43,1.43,0,1.0
5858326,15.83,15.83,0,1.0
5796690,5.54,5.54,0,2.5
5864315,1.03,1.03,0,1.0
5781338,5.003333333333333,5.003333333333333,0,1.0
5928371,1.43,1.43,0,1.0
5859211,0.37999999999999995,0.37999999999999995,1,1.0
5841298,81.95472727272725,81.80472727272726,1,1.1272727272727272
5736091,3.9192857142857136,3.898571428571428,1,1.0714285714285714
5779178,2.185,2.185,0,1.0
5822356,3.0,2.988571428571429,1,0.9285714285714286
5714908,5.371111111111111,5.371111111111111,1,2.111111111111111
5676251,2.3799999999999994,2.3799999999999994,1,1.0
5858505,4.408999999999999,4.408999999999999,1,1.15
5762522,0.4,0.4,0,1.0
5667096,3.81,3.81,0,1.0
5883284,25.27,25.27,0,1.0
5786841,6.35,6.35,0,1.0
5838164,3.49,3.49,0,1.0
5564562,2.22,2.22,1,1.0
5729903,11.006666666666666,11.006666666666666,0,1.0
5858986,0.7825000000000001,0.7825000000000001,1,1.0
5849568,1.59,1.38,0,4.0
5782981,4.11,4.11,1,1.4285714285714286
5837648,4.745454545454546,4.745454545454546,1,1.0
5766585,8.545,8.545,1,1.75
5780325,2.9633333333333334,2.9633333333333334,0,1.0
26756,5.29,5.29,0,1.0
5899427,17.63,17.63,0,1.0
5650614,4.703928571428571,4.703928571428571,1,1.0714285714285714
5822695,5.1,5.1,0,1.0
5809138,14.13,14.13,0,1.0
5787245,10.68,10.68,0,1.0
5561044,2.978110236220472,2.96503937007874,1,1.2677165354330708
5914810,1.59,1.59,0,1.0
5852022,9.37,9.37,0,0.8
5901868,1.3733333333333333,1.3733333333333333,0,1.0
5838573,3.466666666666667,3.466666666666667,0,1.0
5695279,0.79,0.79,0,1.0
5820380,3.97,3.97,0,1.0
5783361,3.935,3.935,1,2.0
5884060,3.67,3.67,0,1.0
5870980,3.48,3.48,0,1.6666666666666667
5760358,2.7900000000000005,2.7900000000000005,0,1.0
5696857,0.475,0.475,0,1.0
5754658,6.33,6.33,0,1.0
5712711,53.2125,52.32,1,1.1875
5905875,5.56,5.56,0,1.0
5771962,3.699374999999999,3.6687499999999993,1,1.1875
5792177,6.03,6.03,0,1.0
5532,3.6465625000000035,3.6465625000000035,1,1.09375
5756554,5.56,5.56,0,1.0
5695703,0.79,0.79,1,2.0
5860270,3.21,3.21,0,1.0
5706777,13.42869565217391,13.385217391304346,1,1.1304347826086956
5808291,0.8599999999999998,0.8599999999999998,1,1.0
5900365,1.43,1.43,0,1.0
5837409,4.76,4.76,0,1.0
5676290,2.38,2.38,0,2.5
5812621,10.0,10.0,1,1.0
5822343,3.0,3.0,0,1.0
5782137,4.11,4.11,1,1.375
5883334,6.02,6.02,1,1.0
5848895,0.7899999999999998,0.7846666666666664,1,1.0666666666666667
5753839,4.52,4.52,0,1.0
5747149,3.3299999999999996,3.3299999999999996,1,1.0
5878886,1.27,1.27,0,1.0
5843263,7.335,7.335,0,1.0
5870646,1.518888888888889,1.501111111111111,1,1.5555555555555556
5745821,17.38,17.38,1,1.2307692307692308
5870559,12.06,12.06,0,1.0
5853630,11.099999999999998,9.989999999999998,1,0.8
5712482,6.03,6.03,0,1.0
5826723,6.753333333333334,6.753333333333334,0,1.0
5813097,9.44,9.44,0,1.0
5863880,4.81,4.81,0,1.0
5725891,3.4233333333333333,3.4233333333333333,1,1.0
5565078,2.94,2.94,1,1.3
5929013,1.43,1.43,0,1.0
5916290,1.43,1.43,0,1.0
5645754,1.555,1.555,1,1.0
5871000,5.54,5.54,0,1.0
5754908,5.56,5.56,0,1.0
5885833,7.0,7.0,0,1.0
5814734,3.57,3.57,0,1.0
5911597,32.06,32.06,0,1.0
5925341,1.43,1.43,0,1.0
5801334,6.3025,6.3025,1,1.375
5906730,5.11,5.11,0,1.0
5861058,3.97,3.97,0,1.0
5927634,1.27,1.27,0,1.0
5817158,5.779999999999999,5.779999999999999,0,1.0
5904717,1.51,1.51,0,1.0
5676844,4.29,4.29,1,2.0
5859420,2.3550000000000004,2.3400000000000003,1,1.0
5557802,5.422857142857143,5.377142857142857,1,1.7142857142857142
5770867,4.19,4.19,0,1.0
5699772,2.7,2.7,0,1.0
5896024,3.35,3.35,0,2.5
5685607,2.86,2.86,0,1.0
5801048,9.21,9.21,0,1.0
5813944,2.3700000000000006,2.3700000000000006,1,1.0
5901776,2.4,2.4,0,1.0
5875435,2.0500000000000003,2.0500000000000003,1,1.3333333333333333
5913648,20.37,20.37,0,1.0
5896425,31.28,31.28,0,1.0
5822989,9.19,9.19,0,1.0
5844744,4.98,4.98,0,1.0
5905818,5.56,5.56,0,1.0
5803686,15.56,14.815000000000001,1,2.25
5898380,7.84111111111111,7.705555555555555,1,1.0
5840339,7.14,7.14,0,1.0
5857069,0.63,0.63,0,1.0
5676246,137.78,137.78,1,1.0
5854291,36.218,35.964000000000006,1,1.2
5868901,9.21,9.21,0,1.0
5750279,5.32,5.32,0,1.0
5887051,1.1,1.1,0,1.0
